createdat,topic,sentimentscore,eventprocessedutctime,partitionid,eventenqueuedutctime
2016-10-09T14:19:57,Unknown,2,2016-10-09T14:29:22.3120811Z,0,2016-10-09T14:20:04.724Z
2016-10-09T14:19:57,amazon,2,2016-10-09T14:29:22.4370888Z,1,2016-10-09T14:20:05.455Z
2016-10-09T14:19:57,amazon,2,2016-10-09T14:29:22.4528809Z,1,2016-10-09T14:20:06.131Z
2016-10-09T14:19:57,amazon,2,2016-10-09T14:29:22.4528809Z,1,2016-10-09T14:20:06.834Z
2016-10-09T14:19:57,Unknown,2,2016-10-09T14:29:22.3433446Z,0,2016-10-09T14:20:07.585Z
2016-10-09T14:19:57,Unknown,2,2016-10-09T14:29:22.3433446Z,0,2016-10-09T14:20:08.242Z
2016-10-09T14:19:57,google,2,2016-10-09T14:29:23.265267Z,3,2016-10-09T14:20:08.822Z
2016-10-09T14:19:57,Microsoft,2,2016-10-09T14:29:22.3433446Z,0,2016-10-09T14:20:09.59Z
2016-10-09T14:19:57,google,2,2016-10-09T14:29:23.265267Z,3,2016-10-09T14:20:10.15Z
2016-10-09T14:19:58,Unknown,2,2016-10-09T14:29:22.3433446Z,0,2016-10-09T14:20:14.906Z
2016-10-09T14:19:58,Unknown,2,2016-10-09T14:29:22.3433446Z,0,2016-10-09T14:20:15.546Z
2016-10-09T14:19:58,amazon,2,2016-10-09T14:29:22.4528809Z,1,2016-10-09T14:20:16.12Z
2016-10-09T14:19:58,amazon,2,2016-10-09T14:29:22.4528809Z,1,2016-10-09T14:20:16.842Z
2016-10-09T14:19:58,Unknown,2,2016-10-09T14:29:22.3433446Z,0,2016-10-09T14:20:17.486Z
2016-10-09T14:19:58,Unknown,4,2016-10-09T14:29:22.3433446Z,0,2016-10-09T14:20:18.158Z
2016-10-09T14:19:58,amazon,2,2016-10-09T14:29:22.4528809Z,1,2016-10-09T14:20:18.749Z
2016-10-09T14:19:58,google,2,2016-10-09T14:29:23.265267Z,3,2016-10-09T14:20:19.36Z
2016-10-09T14:19:58,amazon,2,2016-10-09T14:29:22.4528809Z,1,2016-10-09T14:20:20.033Z
2016-10-09T14:19:58,google,2,2016-10-09T14:29:23.265267Z,3,2016-10-09T14:20:20.657Z
2016-10-09T14:19:58,amazon,2,2016-10-09T14:29:22.4528809Z,1,2016-10-09T14:20:21.347Z
2016-10-09T14:19:58,amazon,2,2016-10-09T14:29:22.4528809Z,1,2016-10-09T14:20:22.004Z
2016-10-09T14:19:58,Unknown,2,2016-10-09T14:29:22.3433446Z,0,2016-10-09T14:20:22.675Z
2016-10-09T14:19:58,google,2,2016-10-09T14:29:23.265267Z,3,2016-10-09T14:20:23.27Z
2016-10-09T14:19:58,Unknown,2,2016-10-09T14:29:22.3433446Z,0,2016-10-09T14:20:24.051Z
2016-10-09T14:19:58,google,2,2016-10-09T14:29:23.265267Z,3,2016-10-09T14:20:24.614Z
2016-10-09T14:19:58,XBox,2,2016-10-09T14:29:22.4528809Z,1,2016-10-09T14:20:25.306Z
2016-10-09T14:19:58,amazon,2,2016-10-09T14:29:22.4528809Z,1,2016-10-09T14:20:25.947Z
2016-10-09T14:19:58,Unknown,2,2016-10-09T14:29:22.3433446Z,0,2016-10-09T14:20:26.613Z
2016-10-09T14:19:58,Unknown,2,2016-10-09T14:29:22.3433446Z,0,2016-10-09T14:20:27.238Z
2016-10-09T14:19:59,Unknown,4,2016-10-09T14:29:22.3433446Z,0,2016-10-09T14:20:27.926Z
2016-10-09T14:19:58,amazon,2,2016-10-09T14:29:22.4528809Z,1,2016-10-09T14:20:28.516Z
2016-10-09T14:19:59,amazon,2,2016-10-09T14:29:22.4528809Z,1,2016-10-09T14:20:29.268Z
2016-10-09T14:19:59,Unknown,2,2016-10-09T14:29:22.3433446Z,0,2016-10-09T14:20:29.941Z
2016-10-09T14:19:59,amazon,2,2016-10-09T14:29:22.4528809Z,1,2016-10-09T14:20:30.55Z
2016-10-09T14:19:59,Unknown,2,2016-10-09T14:29:22.3433446Z,0,2016-10-09T14:20:31.223Z
2016-10-09T14:19:59,amazon,2,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:20:31.836Z
2016-10-09T14:19:59,amazon,2,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:20:32.774Z
2016-10-09T14:19:59,Unknown,2,2016-10-09T14:29:22.3433446Z,0,2016-10-09T14:20:33.446Z
2016-10-09T14:19:59,Unknown,2,2016-10-09T14:29:22.3433446Z,0,2016-10-09T14:20:34.102Z
2016-10-09T14:19:59,bigdata,2,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:20:34.698Z
2016-10-09T14:19:59,amazon,2,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:20:35.916Z
2016-10-09T14:19:59,amazon,2,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:20:36.573Z
2016-10-09T14:19:59,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:20:37.26Z
2016-10-09T14:19:59,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:20:37.932Z
2016-10-09T14:20:00,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:20:38.604Z
2016-10-09T14:20:00,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:20:39.495Z
2016-10-09T14:20:00,amazon,2,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:20:40.113Z
2016-10-09T14:20:00,bigdata,4,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:20:40.788Z
2016-10-09T14:20:00,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:20:41.448Z
2016-10-09T14:20:00,Skype,2,2016-10-09T14:29:23.093372Z,2,2016-10-09T14:20:42.257Z
2016-10-09T14:20:00,amazon,2,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:20:42.921Z
2016-10-09T14:20:00,Microsoft,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:20:53.926Z
2016-10-09T14:20:00,amazon,2,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:20:54.532Z
2016-10-09T14:20:00,bigdata,4,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:20:55.174Z
2016-10-09T14:20:00,bigdata,2,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:20:55.83Z
2016-10-09T14:20:00,google,2,2016-10-09T14:29:23.265267Z,3,2016-10-09T14:20:56.436Z
2016-10-09T14:20:00,amazon,2,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:20:57.127Z
2016-10-09T14:20:00,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:20:57.801Z
2016-10-09T14:20:00,XBox,2,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:20:58.396Z
2016-10-09T14:20:01,Microsoft,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:20:59.052Z
2016-10-09T14:20:00,bigdata,2,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:20:59.709Z
2016-10-09T14:20:00,google,2,2016-10-09T14:29:23.265267Z,3,2016-10-09T14:21:00.298Z
2016-10-09T14:20:01,amazon,2,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:21:00.991Z
2016-10-09T14:20:01,google,2,2016-10-09T14:29:23.265267Z,3,2016-10-09T14:21:01.596Z
2016-10-09T14:20:01,amazon,2,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:21:02.288Z
2016-10-09T14:20:01,amazon,2,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:21:02.929Z
2016-10-09T14:20:01,google,2,2016-10-09T14:29:23.265267Z,3,2016-10-09T14:21:03.52Z
2016-10-09T14:20:01,amazon,2,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:21:04.195Z
2016-10-09T14:20:01,XBox,4,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:21:04.852Z
2016-10-09T14:20:01,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:05.523Z
2016-10-09T14:20:01,amazon,2,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:21:06.195Z
2016-10-09T14:20:01,amazon,2,2016-10-09T14:29:22.4686532Z,1,2016-10-09T14:21:06.914Z
2016-10-09T14:20:01,amazon,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:07.555Z
2016-10-09T14:20:01,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:08.211Z
2016-10-09T14:20:02,google,2,2016-10-09T14:29:23.265267Z,3,2016-10-09T14:21:08.78Z
2016-10-09T14:20:02,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:09.633Z
2016-10-09T14:20:02,XBox,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:10.291Z
2016-10-09T14:20:02,google,2,2016-10-09T14:29:23.265267Z,3,2016-10-09T14:21:10.89Z
2016-10-09T14:20:02,amazon,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:11.557Z
2016-10-09T14:20:01,amazon,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:12.182Z
2016-10-09T14:20:01,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:12.852Z
2016-10-09T14:20:02,amazon,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:13.779Z
2016-10-09T14:20:02,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:14.445Z
2016-10-09T14:20:02,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:15.07Z
2016-10-09T14:20:02,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:15.711Z
2016-10-09T14:20:02,Unknown,4,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:16.352Z
2016-10-09T14:20:02,XBox,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:16.953Z
2016-10-09T14:20:02,google,2,2016-10-09T14:29:23.265267Z,3,2016-10-09T14:21:17.55Z
2016-10-09T14:20:02,amazon,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:18.25Z
